apple: 苹果
banana: 香蕉
cat: 猫
dog: 狗
elephant: 大象
fish: 鱼
grape: 葡萄
house: 房子
ice: 冰
juice: 果汁
kite: 风筝
lion: 狮子
monkey: 猴子
night: 夜晚
orange: 橙子
piano: 钢琴
queen: 女王
rabbit: 兔子
sun: 太阳
tree: 树
umbrella: 雨伞
violin: 小提琴
water: 水
xylophone: 木琴
yogurt: 酸奶
zebra: 斑马
book: 书
chair: 椅子
desk: 桌子
ear: 耳朵
flower: 花
glove: 手套
hat: 帽子
island: 岛
jacket: 夹克
key: 钥匙
lamp: 灯
mountain: 山
notebook: 笔记本
ocean: 海洋
pencil: 铅笔
queen: 女王
river: 河流
shoe: 鞋子
telephone: 电话
umbrella: 雨伞
vase: 花瓶
window: 窗户
yard: 院子
zoo: 动物园
ant: 蚂蚁
bird: 鸟
cloud: 云
door: 门
egg: 鸡蛋
frog: 青蛙
guitar: 吉他
horse: 马
ink: 墨水
jelly: 果冻
king: 国王
leaf: 叶子
moon: 月亮
nest: 鸟巢
octopus: 章鱼
pen: 钢笔
quilt: 被子
rain: 雨
star: 星星
turtle: 乌龟
vulture: 秃鹫
whale: 鲸鱼
x-ray: X光
yo-yo: 溜溜球
airplane: 飞机
beach: 海滩
car: 汽车
diamond: 钻石
eagle: 老鹰
forest: 森林
gold: 黄金
hill: 小山
igloo: 冰屋
jungle: 丛林
kangaroo: 袋鼠
lake: 湖泊
mango: 芒果
nest: 鸟巢
owl: 猫头鹰
pizza: 披萨
queen: 女王
road: 道路
ship: 船
train: 火车
volcano: 火山
window: 窗户
